sample_index,hardware_time,dt_hw,read_time,dt_read,batch_time,dt_batch,Fx,Fy,Fz,Tx,Ty,Tz
41,0.082000000,0.002000000,0.083350916,0.002133526,0.083348724,0.002133517,0.012423186,-0.001850495,-0.017053441,0.000144392,-0.000055266,0.000231250
42,0.084000000,0.002000000,0.085482451,0.002131535,0.085480316,0.002131592,-0.005647062,0.001733839,-0.006413839,-0.000147697,0.000119590,0.000063760
43,0.086000000,0.002000000,0.087609968,0.002127517,0.087607873,0.002127557,0.004308934,-0.004160302,-0.000018642,-0.000000787,0.000091154,0.000118419
44,0.088000000,0.002000000,0.089762690,0.002152722,0.089759784,0.002151911,0.000239104,-0.008790947,0.003410304,-0.000337229,0.000126428,0.000060199
45,0.090000000,0.002000000,0.091935896,0.002173206,0.091934644,0.002174860,-0.011652592,-0.003764132,-0.026477261,0.000043671,0.000281378,0.000123152
46,0.092000000,0.002000000,0.094057690,0.002121794,0.094055459,0.002120815,0.000413587,0.000336010,0.000077917,-0.000097262,-0.000073600,0.000088848
47,0.094000000,0.002000000,0.095152185,0.001094495,0.095150193,0.001094734,0.000411683,-0.008837635,-0.013447596,-0.000046152,-0.000102396,0.000228055
48,0.096000000,0.002000000,0.097286002,0.002133817,0.097283925,0.002133732,0.004249228,0.005496138,-0.016438568,0.000001010,0.000192025,0.000402751
49,0.098000000,0.002000000,0.099414449,0.002128447,0.099412435,0.002128510,0.000394482,-0.022979095,-0.000390827,0.000000308,-0.000065337,-0.000026991
50,0.100000000,0.002000000,0.101541659,0.002127210,0.101539689,0.002127254,0.000395082,-0.013449603,-0.013554258,0.000097159,-0.000019259,0.000172838
51,0.102000000,0.002000000,0.103691532,0.002149873,0.103690651,0.002150962,-0.001541313,0.001642977,-0.013402015,0.000042557,0.000060789,-0.000019413
52,0.104000000,0.002000000,0.105807328,0.002115796,0.105804968,0.002114317,-0.001734755,-0.012151995,-0.006706318,-0.000097885,0.000205863,0.000062417
53,0.106000000,0.002000000,0.107952243,0.002144915,0.107950175,0.002145207,-0.005578593,0.001602995,0.000296299,0.000239346,0.000005353,0.000147354
54,0.108000000,0.002000000,0.110069281,0.002117038,0.110067154,0.002116979,-0.001571990,-0.003012374,-0.013385556,-0.000098227,-0.000019527,0.000090030
55,0.110000000,0.002000000,0.111168442,0.001099161,0.111166122,0.001098968,-0.001471261,-0.005407316,-0.023563341,-0.000096807,-0.000186565,0.000144426
56,0.112000000,0.002000000,0.113312205,0.002143763,0.113310082,0.002143960,0.008335330,0.007605283,-0.010006863,0.000141247,0.000164528,0.000179073
57,0.114000000,0.002000000,0.115442351,0.002130146,0.115440193,0.002130111,-0.009500974,-0.014962326,0.003409384,0.000003095,-0.000287246,0.000111320
58,0.116000000,0.002000000,0.117569610,0.002127259,0.117567590,0.002127397,0.002384379,-0.007422930,-0.026932788,0.000142895,0.000112463,0.000204979
59,0.118000000,0.002000000,0.119696647,0.002127037,0.119694729,0.002127139,-0.001486098,0.001390422,0.000049842,0.000142602,-0.000158870,0.000061052
60,0.120000000,0.002000000,0.121836846,0.002140199,0.121834164,0.002139435,0.004385145,-0.015848019,-0.010515579,-0.000004137,0.000095401,-0.000106682
61,0.122000000,0.002000000,0.123962626,0.002125780,0.123960610,0.002126446,0.000417831,-0.006540780,-0.010085449,0.000000598,-0.000075052,0.000172770
62,0.124000000,0.002000000,0.126079412,0.002116786,0.126077450,0.002116840,-0.003452918,-0.001882806,-0.023409804,0.000096356,-0.000190483,0.000229783
63,0.126000000,0.002000000,0.127173131,0.001093719,0.127171161,0.001093711,0.004407202,-0.004228781,-0.006880478,0.000093369,0.000034332,0.000034802
64,0.128000000,0.002000000,0.129302124,0.002128993,0.129300124,0.002128963,-0.005666538,-0.000711628,0.010399223,0.000191601,0.000091715,0.000118865
65,0.130000000,0.002000000,0.131435524,0.002133400,0.131434620,0.002134496,-0.001432184,0.003651321,-0.003296964,0.000047001,-0.000269712,0.000088017
66,0.132000000,0.002000000,0.133557696,0.002122172,0.133555641,0.002121021,-0.003639349,0.007570349,-0.003055331,0.000138238,0.000225056,0.000011149
67,0.134000000,0.002000000,0.135684849,0.002127153,0.135682985,0.002127344,-0.013518492,0.003788058,0.007213821,0.000142969,-0.000101010,0.000089408
68,0.136000000,0.002000000,0.137815639,0.002130790,0.137813680,0.002130695,0.004457492,0.000237721,-0.000078185,-0.000048752,-0.000157668,0.000088085
