time,Fx,Fy,Fz,Tx,Ty,Tz
0.002154849,-0.010206345,-0.005331626,0.009813814,0.000155673,-0.000155695,-0.000022316
0.004291322,-0.000224194,0.005242881,-0.000363029,0.000008687,-0.000079186,-0.000018961
0.006444976,-0.006372283,0.008971687,0.006777610,0.000009107,0.000141806,0.000067649
0.008604729,0.005719526,0.008722266,0.006293834,0.000008498,-0.000025229,-0.000018165
0.009698750,0.005649256,-0.002769174,-0.000506331,-0.000036320,0.000004680,0.000092313
0.011827032,-0.004358812,0.003208792,-0.006856404,-0.000231705,0.000116352,0.000038463
0.013958513,-0.010258872,0.002110444,-0.016862005,0.000152309,0.000111140,0.000068637
0.016088125,-0.002100073,-0.014531544,-0.024260671,0.000059804,-0.000270368,0.000033215
0.018228408,-0.006236212,-0.002751134,-0.010336850,0.000011148,-0.000078086,0.000092257
0.020361305,-0.008236871,0.005382922,-0.003428293,0.000105686,-0.000025022,0.000066248
0.022456721,0.005762308,0.006510319,-0.010610417,-0.000041349,0.000000615,-0.000044961
0.024550778,0.007712791,-0.015407027,-0.027865004,-0.000041025,0.000115502,-0.000102183
0.025664002,-0.004308270,-0.006101292,-0.010400997,0.000202952,0.000085781,0.000094441
0.027836962,0.001569207,-0.007465357,0.013117013,-0.000128058,-0.000045118,0.000201065
0.029951598,-0.006436195,-0.002896442,0.026819381,-0.000177977,-0.000013246,0.000088881
0.032034494,-0.008339704,-0.003831033,-0.003518604,-0.000133989,0.000064115,0.000036552
0.034155570,-0.002171837,-0.005127759,-0.017294235,0.000106772,-0.000135427,0.000064209
0.036302392,0.001661922,-0.021184349,-0.024296787,-0.000132963,0.000064249,0.000035194
0.038414341,-0.000186792,-0.013505702,-0.000709638,0.000109086,-0.000239227,0.000003941
0.040567960,0.003686026,-0.006302975,-0.000594978,0.000058668,0.000005989,0.000008106
0.041674274,0.001603604,-0.000131716,-0.013741448,0.000057497,0.000220993,0.000124945
0.043797378,0.001661483,0.001882123,0.003027324,0.000010564,0.000031758,0.000065394
0.045925666,-0.004206718,-0.008574563,-0.013960184,0.000201470,-0.000023227,-0.000018951
0.048054427,-0.004091101,-0.004070174,-0.013944734,0.000394820,-0.000193040,0.000036652
0.050191085,-0.004275329,-0.006207657,-0.010475990,-0.000038365,0.000006773,0.000008504
0.052352758,0.007729537,0.009545255,0.033071601,0.000105246,-0.000130970,-0.000133148
0.054516217,0.001649826,0.008723708,0.016507670,-0.000136779,0.000062799,-0.000102621
0.055615186,0.009484847,-0.009612891,0.006168656,-0.000081758,0.000145266,0.000175884
0.057729261,-0.008368829,0.005596866,-0.003262088,0.000010340,0.000140663,0.000151799
0.059849486,0.005677460,0.011146918,0.006490917,0.000107936,-0.000029045,0.000178513
