time,Fx,Fy,Fz,Tx,Ty,Tz
0.002115473,0.010892374,0.006134240,0.000389382,-0.000123441,0.000059896,-0.000044248
0.004242613,-0.001101944,-0.000726443,-0.006108706,-0.000171233,0.000091678,-0.000044952
0.006392242,-0.000958513,0.003731649,-0.006169214,0.000020514,-0.000077350,-0.000073284
0.008521321,-0.002968734,0.007341557,-0.012710343,-0.000027226,-0.000052199,0.000012005
0.010657451,0.008849923,-0.009060582,0.006906120,-0.000169443,0.000040644,-0.000104163
0.012765686,-0.009132254,-0.000687146,0.004337408,0.000120987,0.000090359,0.000123135
0.014882078,0.011020244,-0.005797264,0.003451096,0.000024933,-0.000240321,-0.000021823
0.015987712,-0.002943104,0.004751347,0.003967131,-0.000026910,-0.000157150,-0.000103161
0.018115856,-0.005104571,-0.003226283,0.010709506,-0.000123365,0.000069647,-0.000158957
0.020253701,0.004852045,-0.013791611,0.017090436,0.000074886,-0.000041399,0.000005941
0.022400404,-0.005021703,0.012911607,0.021130572,0.000167796,-0.000104775,0.000038211
0.024496664,0.000935444,-0.006792186,0.007021326,-0.000076488,0.000041635,-0.000243314
0.026592948,-0.011024033,-0.006743196,0.004083478,-0.000073099,-0.000068330,-0.000076627
0.028715777,-0.001162741,0.008703779,-0.002566044,-0.000126463,0.000281835,-0.000096925
0.030871418,-0.002942554,0.002276994,0.013995171,-0.000073769,-0.000236111,-0.000133664
0.031988649,-0.007021502,-0.009127249,0.003958168,-0.000119218,-0.000150937,-0.000022264
0.034128052,-0.007009180,0.002547186,0.004031867,-0.000125667,0.000012036,-0.000213935
0.036283264,-0.013086196,0.001582622,0.004372363,0.000021853,0.000092812,-0.000016767
0.038424527,-0.005044860,0.006241076,-0.002560610,0.000164008,0.000114216,-0.000042266
0.040532650,0.008986445,0.000007905,0.013692062,0.000071422,-0.000157355,-0.000076401
0.042661480,-0.005090364,0.001515315,0.004089811,-0.000075741,0.000093079,-0.000101010
0.044803118,-0.006968122,0.009556878,0.000911948,0.000070464,-0.000106014,0.000038915
0.046939698,0.006829754,-0.003120188,0.007149947,0.000071479,0.000117716,0.000010811
0.048058115,0.002901913,0.001456776,0.003914053,-0.000121655,0.000008541,-0.000018191
0.050199012,0.000878131,0.002734624,-0.002672243,-0.000265627,0.000035938,0.000038288
0.052355529,-0.005063127,-0.003137354,0.000636408,0.000069464,0.000064539,-0.000073339
